2024-09-22 15:04:12,032 - INFO - Process: PID=3780, Name=WmiPrvSE.exe, User=None
2024-09-22 15:04:12,033 - INFO - Process: PID=3792, Name=msedgewebview2.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,037 - INFO - Process: PID=3908, Name=svchost.exe, User=None
2024-09-22 15:04:12,041 - INFO - Process: PID=3968, Name=svchost.exe, User=None
2024-09-22 15:04:12,045 - INFO - Process: PID=4036, Name=WsAppService3.exe, User=None
2024-09-22 15:04:12,049 - INFO - Process: PID=4112, Name=NvBroadcast.Container.exe, User=None
2024-09-22 15:04:12,054 - INFO - Process: PID=4276, Name=svchost.exe, User=None
2024-09-22 15:04:12,058 - INFO - Process: PID=4284, Name=svchost.exe, User=None
2024-09-22 15:04:12,062 - INFO - Process: PID=4332, Name=svchost.exe, User=None
2024-09-22 15:04:12,062 - INFO - Process: PID=4392, Name=RuntimeBroker.exe, User=PACMANEEE\Pranav
2024-09-22 15:04:12,067 - INFO - Process: PID=4628, Name=spoolsv.exe, User=None
2024-09-22 15:04:12,071 - INFO - Process: PID=4668, Name=svchost.exe, User=None
2024-09-22 15:04:12,075 - INFO - Process: PID=4716, Name=svchost.exe, User=None
2024-09-22 15:04:12,079 - INFO - Process: PID=4844, Name=svchost.exe, User=None
2024-09-22 15:04:12,083 - INFO - Process: PID=4916, Name=svchost.exe, User=None
2024-09-22 15:04:12,087 - INFO - Process: PID=4924, Name=svchost.exe, User=None
2024-09-22 15:04:12,092 - INFO - Process: PID=4944, Name=svchost.exe, User=None
2024-09-22 15:04:12,096 - INFO - Process: PID=4960, Name=avp.exe, User=None
2024-09-22 15:04:12,100 - INFO - Process: PID=4968, Name=svchost.exe, User=None
2024-09-22 15:04:12,104 - INFO - Process: PID=4976, Name=svchost.exe, User=None
2024-09-22 15:04:12,109 - INFO - Process: PID=4988, Name=redis-server.exe, User=None
2024-09-22 15:04:12,113 - INFO - Process: PID=5012, Name=svchost.exe, User=None
2024-09-22 15:04:12,117 - INFO - Process: PID=5020, Name=svchost.exe, User=None
2024-09-22 15:04:12,121 - INFO - Process: PID=5028, Name=svchost.exe, User=None
2024-09-22 15:04:12,125 - INFO - Process: PID=5040, Name=svchost.exe, User=None
2024-09-22 15:04:12,130 - INFO - Process: PID=5060, Name=RtkAudUService64.exe, User=None
2024-09-22 15:04:12,134 - INFO - Process: PID=5068, Name=IpOverUsbSvc.exe, User=None
2024-09-22 15:04:12,138 - INFO - Process: PID=5076, Name=HPPrintScanDoctorService.exe, User=None
2024-09-22 15:04:12,143 - INFO - Process: PID=5084, Name=lghub_updater.exe, User=None
2024-09-22 15:04:12,147 - INFO - Process: PID=5100, Name=svchost.exe, User=None
2024-09-22 15:04:12,151 - INFO - Process: PID=5104, Name=nvcontainer.exe, User=None
2024-09-22 15:04:12,156 - INFO - Process: PID=5112, Name=GameManagerService.exe, User=None
2024-09-22 15:04:12,160 - INFO - Process: PID=5132, Name=RazerCentralService.exe, User=None
